Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi,,
1.51,-0.8,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.52,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.53,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.6,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.54,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.55,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.56,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,0,0,0,0.1,0,,
1.57,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.58,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.59,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.6,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.61,-0.7,-0.8,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.62,-0.8,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.63,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.64,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.65,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.66,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.67,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.68,-0.8,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.69,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.7,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.71,-0.8,-0.9,-0.9,-0.8,-1,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.72,-0.8,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.73,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.74,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.75,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.76,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.77,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.78,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.79,-0.8,-0.9,-1,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.8,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.81,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.82,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.83,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.7,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.84,-0.6,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.85,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.86,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.7,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.87,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
1.88,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.89,-0.8,-0.8,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.9,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
1.91,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.92,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.6,-0.7,-0.6,-0.7,-0.6,0,0.1,0,0,0,,
1.93,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
1.94,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.95,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
1.96,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.97,-0.8,-0.8,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
1.98,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.5,0,0,0,0,0,,
1.99,-0.8,-0.8,-0.9,-0.8,-0.9,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,0,0,0,0,0,,
2,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.7,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
2.01,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
2.02,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.03,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.04,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
2.05,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.06,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0,0,0,0,0,,
2.07,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
2.08,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,-0.1,0,0,,
2.09,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.1,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
2.11,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.12,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
2.13,-0.8,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
2.14,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.15,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.16,-0.8,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.17,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.18,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.19,-0.8,-0.9,-0.9,-0.8,-0.9,-0.7,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,-0.1,,
2.2,-0.6,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.21,-0.8,-0.9,-0.9,-0.8,-1,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.22,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.4,-0.6,0,0,0,0,0,,
2.23,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,-0.1,0,0,,
2.24,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0.1,,
2.25,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.26,-0.9,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.27,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.28,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.29,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.7,0,0,0,0,0,,
2.3,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
2.31,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.32,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.33,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.7,-0.8,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.34,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.35,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.36,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.37,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,-0.1,,
2.38,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.39,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.4,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.41,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.42,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.43,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0.1,0,,
2.44,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.45,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.46,-0.8,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.47,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.6,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.48,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.49,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.5,-0.8,-0.9,-0.9,-0.7,-0.9,-0.7,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.51,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.52,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.53,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.54,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.55,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,-0.1,0,0,,
2.56,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.57,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.58,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.59,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.8,-0.6,0,0,0,0,0,,
2.6,-0.8,-0.9,-0.8,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.61,-0.8,-0.7,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,-0.1,0,0,0,0,,
2.62,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.63,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.64,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.65,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.66,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.67,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.68,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.9,-0.7,-0.6,0,0.1,0,0,0,,
2.69,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.7,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.71,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0.1,0,0,0,,
2.72,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.73,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.74,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.9,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.75,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.76,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.77,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.78,-0.8,-0.9,-0.9,-0.8,-1,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.79,-0.8,-0.9,-0.8,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.8,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.81,-0.8,-0.9,-0.9,-0.8,-0.9,-0.7,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.82,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.83,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.7,-0.7,-0.7,-0.7,-0.5,0,0,-0.1,0,0,,
2.84,-0.7,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.85,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.86,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.87,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.88,-0.8,-0.9,-0.9,-0.8,-0.9,-0.7,-0.8,-0.7,-0.7,-0.7,-0.6,0,0.1,0,0,0,,
2.89,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.9,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.91,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.92,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.7,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.93,-0.8,-0.9,-0.9,-0.8,-0.9,-0.7,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.94,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0.1,,
2.95,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
2.96,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.97,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,-0.1,0,,
2.98,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
2.99,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.5,-0.6,0,0,0,0,0,,
3,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
,-0.793666667,-0.898,-0.899,-0.787333333,-0.900666667,-0.796666667,-0.795666667,-0.701,-0.676,-0.655,-0.599,-0.000333333,0.001,-0.001333333,0.000333333,0,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-0.08
